,r,C,T,n,fold,best_alpha,mse,evs
0,2,10,512,32,1,0.1,3.8356812307215673,0.5080656408789024
0,2,10,512,64,1,0.1,3.4188705252811413,0.6141547015123472
0,2,10,512,128,1,0.1,3.718312055617342,0.5242763487283169
0,2,10,512,256,1,0.1,2.7382971852710227,0.6751691312763086
0,2,10,512,512,1,0.1,3.6152984713536513,0.5687558184186964
0,2,10,512,1024,1,0.1,3.2066617311132593,0.5803697593092958
0,2,10,512,2048,1,0.1,3.754133961793777,0.5642775742234178
0,2,10,1024,16,1,1.0,4.639592276987866,0.44852145285683187
0,2,10,1024,32,1,0.1,4.017488482540426,0.49417867326018305
0,2,10,1024,64,1,0.1,3.356668963486379,0.5944431704101522
0,2,10,1024,128,1,0.1,3.181607668095025,0.5971777898502072
0,2,10,1024,256,1,0.1,2.953190274074349,0.6608185400895298
0,2,10,1024,512,1,0.1,2.9110785730158737,0.6533178655577103
0,2,10,1024,1024,1,0.1,2.829616891578069,0.6686906869816907
0,2,10,1024,2048,1,0.1,3.110444566815646,0.6092008623023022
0,2,10,2048,16,1,1.0,4.274208212979392,0.4824304987710055
0,2,10,2048,32,1,0.1,3.8468086493288514,0.533628959701425
0,2,10,2048,64,1,0.1,2.846048109707181,0.6555479101930217
0,2,10,2048,128,1,0.1,2.8319957609009543,0.6555578064155142
0,2,10,2048,256,1,0.1,2.54412519536541,0.6916225936942332
0,2,10,2048,512,1,0.1,2.966265807841411,0.649718098439465
0,2,10,2048,1024,1,0.1,2.552951783692568,0.7064702628094618
0,2,10,2048,2048,1,0.1,2.6996328067262723,0.6701889542494011
0,10,2,16,16,1,0.01,0.5446987887905937,-0.24071711682405406
0,10,2,16,32,1,0.01,0.3375845691829249,0.6623072687174678
0,10,2,16,64,1,0.01,0.5639768555873281,0.08784946262227267
0,10,2,16,128,1,0.01,0.782891796612546,0.28138298296434583
0,10,2,16,256,1,0.01,0.686868334286767,0.02764222377834591
0,10,2,16,512,1,0.01,0.1699892542856708,0.2958822151223778
0,10,2,16,1024,1,0.01,0.4544973068528614,0.06008297347387359
0,10,2,16,2048,1,0.01,0.8418896113562298,-0.9834251021372054
0,10,2,32,16,1,0.01,0.22620423561736835,0.25540210881121095
0,10,2,32,32,1,0.1,0.43660569216057454,0.41270434233590225
0,10,2,32,64,1,0.01,0.31660578934555184,0.12702071724844477
0,10,2,32,128,1,0.01,0.20193717767652278,0.4996879274817587
0,10,2,32,256,1,0.01,0.26554985128990716,0.16829403607400995
0,10,2,32,512,1,0.01,0.2834653819110978,-0.3288698528332257
0,10,2,32,1024,1,0.01,0.20273657112560234,0.22703991104803267
0,10,2,32,2048,1,0.01,0.34448601104279475,0.026534569175122313
0,10,2,64,16,1,0.01,0.271952174678844,0.014374492795319882
0,10,2,64,32,1,1.0,0.22018875656617548,0.42561302641073506
0,10,2,64,64,1,0.01,0.18774037958792278,0.38285280679507905
0,10,2,64,128,1,0.01,0.1346914724072409,0.46293340223473856
0,10,2,64,256,1,0.01,0.21361220013779292,0.16989339154140026
0,10,2,64,512,1,0.01,0.3586882999160127,-0.27290690511728166
0,10,2,64,1024,1,0.01,0.26205794614690997,0.26152739105431777
