,r,C,T,n,fold,best_alpha,mse,evs
0,2,10,1024,64,0,1.0,3.227229908080256,0.5923576991764341
0,2,10,1024,128,0,1.0,3.2465684132843595,0.611263251565734
0,2,10,1024,256,0,1.0,2.889663698909529,0.6509802423119113
0,2,10,1024,512,0,1.0,3.0026738075475334,0.6194010615567295
0,2,10,1024,1024,0,1.0,2.855449185501982,0.6620464001155868
0,2,10,1024,2048,0,1.0,2.8297474344928095,0.6567238358880219
0,2,10,2048,16,0,1.0,4.164765972164606,0.5103345594367052
0,2,10,2048,32,0,1.0,3.4543827639183684,0.6011838413064886
0,2,10,2048,64,0,1.0,3.326894726195752,0.5969730557047561
0,2,10,2048,128,0,1.0,3.1446349524232025,0.6116724792504382
0,2,10,2048,256,0,1.0,2.9269444247699417,0.6419602241922898
0,2,10,2048,512,0,1.0,2.6429569667014103,0.6687767853281856
0,2,10,2048,1024,0,1.0,2.615678885848441,0.6837579372899176
0,2,10,2048,2048,0,1.0,2.6875612875309542,0.6634852240689719
0,10,2,16,16,0,0.01,0.6532392136806882,0.10784152720590834
0,10,2,16,32,0,0.01,0.8395441365548342,-1.0703144129563915
0,10,2,16,64,0,0.01,0.2961638631198582,0.5926477955016904
0,10,2,16,128,0,0.01,0.47745449229820575,-0.19929194763694125
0,10,2,16,256,0,0.01,0.2228796754063072,0.46858971545281347
0,10,2,16,512,0,0.01,0.49836905535926473,0.41252250815169567
0,10,2,16,1024,0,0.01,0.16562790085859444,-0.4395892216218229
0,10,2,16,2048,0,0.01,0.45779662777020536,-0.31224641582248114
0,10,2,32,16,0,0.01,0.298788212890752,0.06074133552213945
0,10,2,32,32,0,0.1,0.24142430694499936,-0.07486859475868468
0,10,2,32,64,0,0.01,0.30194386131887413,-0.13174682369136725
0,10,2,32,128,0,0.01,0.33042372462772474,0.29365661863368164
0,10,2,32,256,0,0.01,0.1521745494497374,0.46370321183446117
0,10,2,32,512,0,0.01,0.2636538734247629,0.42255832648769076
0,10,2,32,1024,0,0.01,0.26768510586276595,0.16615666059991374
0,10,2,32,2048,0,0.01,0.3006577550703974,-0.05738821364480495
0,10,2,64,16,0,0.01,0.395813777123533,0.02174978586590648
0,10,2,64,32,0,0.01,0.3092013811106582,-0.23934269188747703
0,10,2,64,64,0,0.1,0.2188335234824107,0.12265175754372615
0,10,2,64,128,0,0.01,0.16610525960055023,0.4719195136066203
0,10,2,64,256,0,0.01,0.2148986919197891,0.22516872394917786
0,10,2,64,512,0,0.01,0.27544195672629446,0.14240882029780177
0,10,2,64,1024,0,0.1,0.2350197981564513,0.37444694915251453
0,10,2,64,2048,0,0.01,0.166782411202511,0.4421704396322511
0,10,2,128,16,0,0.1,0.2355256231117337,0.2511816754221837
0,10,2,128,32,0,0.1,0.24252527585773853,0.04275065704851655
0,10,2,128,64,0,0.1,0.13974184638257436,0.445754636962323
0,10,2,128,128,0,0.1,0.18206329839984592,0.29025807173547125
0,10,2,128,256,0,0.1,0.19306605166597995,0.30240394351924205
0,10,2,128,512,0,0.1,0.2591339041082782,0.21543976178570257
0,10,2,128,1024,0,0.1,0.24268936904011323,0.1497599164395771
0,10,2,128,2048,0,1.0,0.20363607294606773,0.2727311448128912
0,10,2,256,16,0,0.1,0.1687841754070108,0.3274512315648799
0,10,2,256,32,0,0.1,0.20417709204307982,0.22541474478323686
0,10,2,256,64,0,1.0,0.1823283509311965,0.3463788322612935
0,10,2,256,128,0,0.1,0.15791476756692485,0.40107991677066
0,10,2,256,256,0,1.0,0.14797091793705514,0.4091333139399097
0,10,2,256,512,0,0.1,0.17198042344784403,0.3410374481226529
0,10,2,256,1024,0,0.1,0.18430514438146955,0.2622748868682252
0,10,2,256,2048,0,1.0,0.14775650823769798,0.43374760536091805
0,10,2,512,16,0,1.0,0.1845071219663408,0.2839545815342479
0,10,2,512,32,0,1.0,0.14285115059142564,0.45419343589548766
0,10,2,512,64,0,0.1,0.16106299743031574,0.3708987031644905
0,10,2,512,128,0,1.0,0.17475359787083472,0.3118629170413356
0,10,2,512,256,0,1.0,0.1631049582495272,0.3765278231515695
0,10,2,512,512,0,1.0,0.1736471983267489,0.40016100221590023
0,10,2,512,1024,0,1.0,0.1789923229246378,0.3112477075256156
0,10,2,512,2048,0,1.0,0.14645042244149253,0.4146690115723718
0,10,2,1024,16,0,1.0,0.1860216243801842,0.28752205058412894
0,10,2,1024,32,0,1.0,0.16349936128621972,0.3466686715978725
0,10,2,1024,64,0,1.0,0.15190916146746355,0.3998448551945567
0,10,2,1024,128,0,1.0,0.1408460436210463,0.43925978857694714
0,10,2,1024,256,0,1.0,0.13941418279633083,0.4486822673895603
0,10,2,1024,512,0,1.0,0.14039477158118877,0.45370241434221337
0,10,2,1024,1024,0,1.0,0.14431450845697563,0.4260183701329969
0,10,2,1024,2048,0,1.0,0.12956501246500568,0.4836498930395886
0,10,2,2048,16,0,1.0,0.1610580518096866,0.35590564612799314
0,10,2,2048,32,0,1.0,0.144848413354579,0.42393216133045386
0,10,2,2048,64,0,1.0,0.13805615777294322,0.4524193803347817
0,10,2,2048,128,0,1.0,0.12816750613860048,0.486623491298242
0,10,2,2048,256,0,1.0,0.12693731939319552,0.4981045419810409
0,10,2,2048,512,0,1.0,0.1389700375344715,0.4457314571360561
0,10,2,2048,1024,0,1.0,0.13342908818501772,0.4655667330448612
0,10,2,2048,2048,0,1.0,0.13418153525910453,0.4714248314250501
0,10,10,16,16,0,0.1,3.842765727259522,0.013862371011889918
0,10,10,16,32,0,0.01,12.390744633774894,0.5991093404077583
0,10,10,16,64,0,0.01,6.698176232609964,0.17829402686058038
0,10,10,16,128,0,0.01,2.2299654825913753,0.8046802584084227
0,10,10,16,256,0,0.01,4.456273156759334,0.23180663243796995
0,10,10,16,512,0,0.01,13.076827534672256,0.11013793023311491
0,10,10,16,1024,0,0.01,4.157336697318337,0.6058905249206412
0,10,10,16,2048,0,0.1,2.5657254468781243,0.29010642687887256
0,10,10,32,16,0,0.01,2.693077091112547,0.5541515182899333
0,10,10,32,32,0,0.01,3.1673690588810643,0.6444787753376751
0,10,10,32,64,0,0.01,6.109990086657214,0.11533449492587755
0,10,10,32,128,0,0.01,2.379769547090776,0.6386350652266906
0,10,10,32,256,0,0.01,4.898815790339181,0.6042756935358595
0,10,10,32,512,0,0.01,7.997473411395964,0.30020982236858407
0,10,10,32,1024,0,0.01,2.8452738565390194,0.6971869667011097
0,10,10,32,2048,0,0.01,4.557841454972049,0.4070718104245734
0,10,10,64,16,0,0.01,6.719111430331985,0.421271880519383
0,10,10,64,32,0,0.01,6.006585983502202,0.31615745092117753
0,10,10,64,64,0,0.01,4.170455109713034,0.639077270698293
0,10,10,64,128,0,1.0,1.7909498700746034,0.7758907780255677
0,10,10,64,256,0,0.1,3.2794568254129244,0.6119902800591707
0,10,10,64,512,0,0.01,2.454971950204925,0.772618788761212
0,10,10,64,1024,0,0.1,3.3067214533644784,0.6562090356185609
0,10,10,64,2048,0,0.1,2.5289649912914376,0.6314851767194087
0,10,10,128,16,0,0.1,5.03967733643106,0.2822592089251911
0,10,10,128,32,0,1.0,4.818654034608729,0.46143588400441826
0,10,10,128,64,0,1.0,3.8792073431841536,0.5143740055052641
0,10,10,128,128,0,1.0,2.929675562044651,0.6279774568119287
0,10,10,128,256,0,0.1,2.70586842023081,0.6448947924717717
0,10,10,128,512,0,1.0,3.948739172891414,0.4628075693833369
0,10,10,128,1024,0,0.1,2.5644050189552505,0.6638819126992099
0,10,10,128,2048,0,0.1,2.863612088588069,0.5940052913393132
0,10,10,256,16,0,1.0,3.7668166105364422,0.5091459315293478
0,10,10,256,32,0,1.0,3.105823933410904,0.6183913196741566
0,10,10,256,64,0,1.0,3.4298017550892306,0.6304656872664842
0,10,10,256,128,0,0.1,3.037231538784247,0.628066366460905
0,10,10,256,256,0,1.0,2.4870990679896607,0.6538883349047352
0,10,10,256,512,0,0.1,2.662602671823783,0.6182026987841092
0,10,10,256,1024,0,1.0,2.700573064612267,0.6749612002724272
0,10,10,256,2048,0,1.0,2.151310654662372,0.6784576127983766
0,10,10,512,16,0,1.0,4.4939884428999655,0.43800478148291133
0,10,10,512,32,0,1.0,4.013511431636893,0.5104142571907067
0,10,10,512,64,0,1.0,3.2874662342951684,0.5992474020342142
0,10,10,512,128,0,1.0,3.185154092859234,0.5727539087333978
0,10,10,512,256,0,1.0,2.305489825534953,0.6880273688936074
0,10,10,512,512,0,1.0,3.1495524127662637,0.5856660816303912
0,10,10,512,1024,0,1.0,2.73923853240756,0.6483333497421248
0,10,10,512,2048,0,1.0,2.53983443837595,0.6765981962248453
0,10,10,1024,16,0,1.0,4.595336255650857,0.4709683776794362
0,10,10,1024,32,0,1.0,3.6753307124410317,0.5423712264201868
0,10,10,1024,64,0,1.0,3.1772269083938647,0.6192865123986991
0,10,10,1024,128,0,1.0,2.7147582487634123,0.6683004438998249
0,10,10,1024,256,0,1.0,2.550935294630501,0.666200498059887
0,10,10,1024,512,0,1.0,2.6781624350993343,0.6528602687945546
0,10,10,1024,1024,0,1.0,2.4255238030462314,0.6949619060389413
0,10,10,1024,2048,0,1.0,2.5296488893121443,0.673135066607579
0,10,10,2048,16,0,1.0,4.418754136408889,0.4660597046644124
0,10,10,2048,32,0,1.0,3.2864634129899515,0.6001690911557029
0,10,10,2048,64,0,1.0,3.1554957144030436,0.6112067256699896
0,10,10,2048,128,0,1.0,2.777534682249949,0.6719301734247058
0,10,10,2048,256,0,1.0,2.2808610143423067,0.7280572026173171
0,10,10,2048,512,0,1.0,2.524465351245941,0.6964862734118913
0,10,10,2048,1024,0,1.0,2.25836492004919,0.7142150300579251
0,10,10,2048,2048,0,1.0,2.4440349281149825,0.6955351735738595
0,2,2,16,16,1,0.01,0.37241626808341777,-0.02593671701642064
0,2,2,16,32,1,1.0,0.46891485939184263,-0.19813300127254307
0,2,2,16,64,1,0.01,0.8774317648780265,-0.14375990895471902
0,2,2,16,128,1,0.1,0.3410441418545759,0.0
0,2,2,16,256,1,0.01,0.6714309336521534,-2.27199454857597
0,2,2,16,512,1,0.01,0.3013245722158454,0.09841557586379113
0,2,2,16,1024,1,0.01,0.2556245234886175,0.4490087053370303
0,2,2,16,2048,1,0.01,0.3548668803431937,-0.5132441093702043
0,2,2,32,16,1,0.01,0.5242364864454911,-1.016486682455875
0,2,2,32,32,1,0.1,0.1685733358938149,0.20223810910508033
0,2,2,32,64,1,0.1,0.26730632125751386,0.4401181079008908
0,2,2,32,128,1,0.1,0.25780046801281564,-0.09357375735284656
0,2,2,32,256,1,0.01,0.5257696315050183,-0.5460846690968695
0,2,2,32,512,1,0.01,0.18376720584273745,0.3173542991818923
0,2,2,32,1024,1,0.1,0.2919695449158358,0.20396762699404625
0,2,2,32,2048,1,0.1,0.3863493382073162,-0.13735671699191565
0,2,2,64,16,1,1.0,0.23062169091617202,0.12387193633703986
0,2,2,64,32,1,0.1,0.2225307022483626,0.23039790049080178
0,2,2,64,64,1,0.01,0.23982995934616658,0.05898566983085585
0,2,2,64,128,1,0.1,0.3834770001638042,-0.26490318129733703
0,2,2,64,256,1,0.1,0.2587223192755517,-0.004135486179919434
0,2,2,64,512,1,0.01,0.2158528312701751,0.13344633021320462
0,2,2,64,1024,1,1.0,0.21615795536661037,0.3619803240468651
0,2,2,64,2048,1,0.1,0.19714608073524853,0.2766774512395309
0,2,2,128,16,1,0.1,0.2376507853742202,0.05776098497370863
0,2,2,128,32,1,0.1,0.1444086098225637,0.45404303999952145
0,2,2,128,64,1,0.1,0.22025485112585583,0.13770920996862002
0,2,2,128,128,1,0.1,0.2339437375409394,0.0852380012573396
0,2,2,128,256,1,0.1,0.14986932196350677,0.427147539578437
0,2,2,128,512,1,0.1,0.18615066079192688,0.25472109310153446
0,2,2,128,1024,1,0.1,0.20876449296525929,0.21262709287474357
